text,label
"Keluhan utama: muntah, dehidrasi, diare",Gastroenteritis (Muntaber)
"Badan terasa lemas disertai berat badan turun, gelisah, berkeringat, diare, detak jantung cepat, rasa lapar berlebihan, lemah otot, mudah marah, haid tidak normal",Hipertiroid
Gejala yang dialami: ruam kulit serta kulit mengelupas,Psoriasis
Gejala yang dialami: nyeri sendi serta sakit leher,Osteoartritis
"Keluhan utama: menggigil, nyeri sendi, muntah, lemas, demam tinggi, sakit kepala, mual, hilang nafsu makan, sakit di belakang mata, sakit punggung, tidak enak badan, nyeri otot, bintik merah di seluruh tubuh",Demam Berdarah Dengue (DBD)
"Keluhan utama: sakit punggung, lemah anggota gerak, pusing, hilang keseimbangan",Saraf Leher Terjepit
"Badan terasa sakit punggung disertai lemah anggota gerak, sakit leher, pusing, hilang keseimbangan",Saraf Leher Terjepit
"Dok, saya merasa lemah anggota gerak dan hilang keseimbangan",Saraf Leher Terjepit
Gejala yang dialami: itching serta muntah,Kolestasis Kronis
"Keluhan utama: ruam kulit, jerawat bernanah, komedo, luka gores",Jerawat
"Pasien mengeluh itching, lemas, lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah dan menerima suntikan tidak steril",Hepatitis B
Gejala yang dialami: menggigil serta lemas,Pneumonia (Radang Paru)
"Dok, saya merasa sembelit dan iritasi di anus",Wasir/Ambeien
"Dok, saya merasa menggigil dan wajah pucat sakit",Tifush (Demam Tifoid)
Gejala yang dialami: muntah serta gangguan pencernaan,Gastritis (Maag)
"Dok, saya merasa muntah dan sakit dada",Serangan Jantung
"Saya mengalami ruam kulit, nyeri sendi, kulit mengelupas, sisik perak, lekukan kecil di kuku, kuku meradang",Psoriasis
"Saya mengalami itching, lemas, lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah, menerima suntikan tidak steril",Hepatitis B
"Pasien mengeluh nyeri sendi, muntah, lemas, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan dan mata menguning",Hepatitis D
"Keluhan utama: nyeri sendi, sakit leher, sakit lutut, nyeri sendi panggul, sendi bengkak, sakit saat berjalan",Osteoartritis
"Dok, saya merasa itching dan spotting  urination",Reaksi Obat/Alergi
Gejala yang dialami: lemas serta memar,Varises
"Badan terasa menggigil disertai muntah, lemas, berat badan turun, batuk, demam tinggi, sesak napas, berkeringat, hilang nafsu makan, demam ringan, mata menguning, kelenjar getah bening bengkak, tidak enak badan, dahak, sakit dada, batuk berdarah",TBC (Tuberkulosis)
"Badan terasa muntah disertai sakit perut, perut membengkak, perut kembung, riwayat konsumsi alkohol, kelebihan cairan",Hepatitis Alkoholik
"Badan terasa lemas disertai berat badan turun, gelisah, kadar gula tidak teratur, penglihatan kabur, obesitas, rasa lapar berlebihan, nafsu makan meningkat, sering buang air kecil",Diabetes
"Badan terasa nyeri sendi disertai sakit leher, sakit lutut, nyeri sendi panggul, sendi bengkak, sakit saat berjalan",Osteoartritis
"Keluhan utama: muntah, gangguan pencernaan, hilang nafsu makan, sakit perut, sering buang gas, gatal di dalam",Gastritis (Maag)
"Badan terasa menggigil disertai muntah, lemas, demam tinggi, sakit kepala, sembelit, sakit perut, diare, wajah pucat sakit, sakit perut",Tifush (Demam Tifoid)
"Saya mengalami sakit dada, pusing, hilang keseimbangan, sulit berkonsentrasi",Hypertension
"Badan terasa menggigil disertai lemas, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, wajah pucat sakit, sakit perut",Tifush (Demam Tifoid)
Gejala yang dialami: muntah serta lemas,Hipoglikemia (Gula Darah Rendah)
"Dok, saya merasa nyeri sendi dan mata menguning",Hepatitis D
"Saya mengalami muntah, kulit menguning, sakit perut, perut membengkak, perut kembung, riwayat konsumsi alkohol, kelebihan cairan",Hepatitis Alkoholik
"Pasien mengeluh bersin terus menerus, menggigil dan mata berair",Alergi
Gejala yang dialami: batuk serta demam tinggi,Asma Bronkial
"Pasien mengeluh itching, muntah, lemas, berat badan turun, demam tinggi, kulit menguning dan sakit perut",Penyakit Kuning
"Keluhan utama: pengecilan otot, bercak di tenggorokan, demam tinggi",HIV/AIDS
"Keluhan utama: muntah, sesak napas, berkeringat, sakit dada",Serangan Jantung
"Pasien mengeluh nyeri sendi, muntah, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, diare, demam ringan, mata menguning dan nyeri otot",hepatitis A
"Keluhan utama: menggigil, muntah, lemas, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, wajah pucat sakit, sakit perut",Tifush (Demam Tifoid)
"Saya mengalami menggigil, muntah, demam tinggi, berkeringat, mual, diare, nyeri otot",Malaria
"Keluhan utama: lemas, batuk, demam tinggi, sesak napas, riwayat keluarga, dahak berlendir",Asma Bronkial
"Saya mengalami ruam kulit, demam tinggi, melepuh, luka merah di sekitar hidung, cairan kuning mengeras",Impetigo
Gejala yang dialami: lemas serta perubahan suasana hati,Hipertiroid
"Saya mengalami nyeri sendi, muntah, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, demam ringan, mata menguning, nyeri otot",hepatitis A
"Pasien mengeluh nyeri sendi, muntah, lemas, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut dan mata menguning",Hepatitis D
Gejala yang dialami: nyeri sendi serta muntah,hepatitis A
"Badan terasa muntah disertai mata cekung, dehidrasi, diare",Gastroenteritis (Muntaber)
"Pasien mengeluh menggigil, lemas, batuk, demam tinggi, sesak napas, tidak enak badan, dahak, sakit dada, detak jantung cepat dan dahak berwarna karat",Pneumonia (Radang Paru)
"Dok, saya merasa ruam kulit dan cairan kuning mengeras",Impetigo
Gejala yang dialami: pengecilan otot serta bercak di tenggorokan,HIV/AIDS
"Saya mengalami nyeri sendi, muntah, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, diare, demam ringan, mata menguning, nyeri otot",hepatitis A
"Dok, saya merasa bersin terus menerus dan nyeri otot",ISPA/Influenza
"Saya mengalami itching, ruam kulit, lemas, lesu, demam tinggi, sakit kepala, demam ringan, kelenjar getah bening bengkak, tidak enak badan, bintik merah di seluruh tubuh",Cacar Air
"Dok, saya merasa menggigil dan nyeri otot",Malaria
"Badan terasa pengecilan otot disertai bercak di tenggorokan, demam tinggi, kontak seksual berisiko",HIV/AIDS
"Pasien mengeluh bersin terus menerus, menggigil dan mata berair",Alergi
Gejala yang dialami: nyeri sendi serta muntah,hepatitis A
"Keluhan utama: asam lambung naik, gangguan pencernaan, sakit kepala, penglihatan kabur, rasa lapar berlebihan, leher kaku, depresi, mudah marah, gangguan pengelihatan",Migrain
Gejala yang dialami: menggigil serta muntah,Tifush (Demam Tifoid)
Gejala yang dialami: lemas serta berat badan turun,Diabetes
"Badan terasa itching disertai lemas, lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah, menerima suntikan tidak steril",Hepatitis B
Gejala yang dialami: ruam kulit serta nyeri sendi,Demam Berdarah Dengue (DBD)
"Keluhan utama: rasa terbakar saat buang air kecil, tidak nyaman di kandung kemih, rasa ingin pipis terus",Infeksi Saluran Kemih
"Pasien mengeluh menggigil, muntah, lemas, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, wajah pucat sakit dan sakit perut",Tifush (Demam Tifoid)
"Dok, saya merasa jerawat bernanah dan luka gores",Jerawat
"Dok, saya merasa lemas dan urat menonjol di betis",Varises
Gejala yang dialami: menggigil serta lemas,Pneumonia (Radang Paru)
"Dok, saya merasa nyeri sendi dan pendarahan lambung",Hepatitis E
"Keluhan utama: itching, ruam kulit, lemas, lesu, demam tinggi, sakit kepala, hilang nafsu makan, demam ringan, kelenjar getah bening bengkak, tidak enak badan, bintik merah di seluruh tubuh",Cacar Air
"Pasien mengeluh itching, ruam kulit dan benjolan merah di kulit",Infeksi Jamur
"Pasien mengeluh sakit punggung, lemah anggota gerak, sakit leher, pusing dan hilang keseimbangan",Saraf Leher Terjepit
"Keluhan utama: lemas, lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah, menerima suntikan tidak steril",Hepatitis B
"Saya mengalami nyeri sendi, sakit leher, sakit lutut, nyeri sendi panggul, sendi bengkak, sakit saat berjalan",Osteoartritis
"Keluhan utama: muntah, mata cekung, dehidrasi, diare",Gastroenteritis (Muntaber)
"Saya mengalami nyeri sendi, muntah, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, diare, demam ringan, mata menguning, nyeri otot",hepatitis A
"Dok, saya merasa kram dan urat menonjol di betis",Varises
"Keluhan utama: ruam kulit, menggigil, nyeri sendi, muntah, lemas, demam tinggi, sakit kepala, mual, hilang nafsu makan, sakit di belakang mata, sakit punggung, tidak enak badan, nyeri otot, bintik merah di seluruh tubuh",Demam Berdarah Dengue (DBD)
"Dok, saya merasa itching dan dischromic  patches",Infeksi Jamur
"Saya mengalami muntah, mual, berputar-putar, hilang keseimbangan, tidak stabil",Vertigo
"Keluhan utama: sakit perut, asam lambung naik, sariawan di lidah, muntah, batuk, sakit dada",GERD (Asam Lambung)
"Badan terasa bersin terus menerus disertai menggigil, menggigil, mata berair",Alergi
"Dok, saya merasa itching dan mata menguning",Kolestasis Kronis
Gejala yang dialami: itching serta ruam kulit,Cacar Air
"Dok, saya merasa itching dan menerima suntikan tidak steril",Hepatitis B
"Saya mengalami nyeri sendi, sakit leher, sakit lutut, sendi bengkak, sakit saat berjalan",Osteoartritis
Gejala yang dialami: muntah serta sesak napas,Serangan Jantung
"Keluhan utama: sembelit, sakit saat buang air besar, sakit di daerah anus, buang air besar berdarah, iritasi di anus",Wasir/Ambeien
"Keluhan utama: muntah, mata cekung, dehidrasi, diare",Gastroenteritis (Muntaber)
"Badan terasa itching disertai muntah, lemas, berat badan turun, demam tinggi, kulit menguning, urine berwarna gelap",Penyakit Kuning
Gejala yang dialami: menggigil serta muntah,Malaria
Gejala yang dialami: sesak napas serta berkeringat,Serangan Jantung
"Dok, saya merasa itching dan mata menguning",Kolestasis Kronis
"Dok, saya merasa nyeri sendi dan mata menguning",Hepatitis D
Gejala yang dialami: ruam kulit serta menggigil,Demam Berdarah Dengue (DBD)
"Dok, saya merasa muntah dan kelebihan cairan",Hepatitis Alkoholik
"Keluhan utama: muntah, kulit menguning, sakit perut, perut membengkak, perut kembung, riwayat konsumsi alkohol",Hepatitis Alkoholik
"Badan terasa sakit kepala disertai sakit dada, pusing, hilang keseimbangan, sulit berkonsentrasi",Hypertension
"Pasien mengeluh muntah, sakit kepala, lemah satu sisi tubuh dan kesadaran berubah",Kelumpuhan (Pendarahan Otak)
"Saya mengalami nyeri sendi, muntah, kulit menguning, mual, hilang nafsu makan, sakit perut, diare, demam ringan, mata menguning, nyeri otot",hepatitis A
"Pasien mengeluh itching, ruam kulit, lemas, lesu, demam tinggi, sakit kepala, hilang nafsu makan, demam ringan, kelenjar getah bening bengkak, tidak enak badan dan bintik merah di seluruh tubuh",Cacar Air
"Badan terasa mata cekung disertai dehidrasi, diare",Gastroenteritis (Muntaber)
"Pasien mengeluh lemas, berat badan naik, tangan dan kaki dingin, perubahan suasana hati, lesu, pusing, wajah dan mata bengkak, pembesaran tiroid, kuku rapuh, swollen extremeties, depresi, mudah marah dan haid tidak normal",Hipotiroid
"Pasien mengeluh ruam kulit, nyeri sendi, kulit mengelupas, sisik perak, lekukan kecil di kuku dan kuku meradang",Psoriasis
"Dok, saya merasa lemah otot dan sakit saat berjalan",Radang Sendi
"Pasien mengeluh sembelit, sakit saat buang air besar, sakit di daerah anus, buang air besar berdarah dan iritasi di anus",Wasir/Ambeien
"Keluhan utama: menggigil, muntah, lemas, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, wajah pucat sakit, sakit perut",Tifush (Demam Tifoid)
"Dok, saya merasa menggigil dan dahak berwarna karat",Pneumonia (Radang Paru)
"Saya mengalami ruam kulit, nyeri sendi, kulit mengelupas, lekukan kecil di kuku, kuku meradang",Psoriasis
Gejala yang dialami: itching serta ruam kulit,Reaksi Obat/Alergi
"Dok, saya merasa nyeri sendi dan sakit saat berjalan",Osteoartritis
"Pasien mengeluh lemas, batuk, demam tinggi, sesak napas, riwayat keluarga dan dahak berlendir",Asma Bronkial
"Dok, saya merasa lemas dan sering buang air kecil",Diabetes
"Badan terasa lemah otot disertai leher kaku, sendi bengkak, sakit saat berjalan",Radang Sendi
